232.60||0.00||0.00||0.00||2018-08-25T07:45:07+02:00
232.60||0.00||0.00||0.00||2018-08-25T07:45:12+02:00
232.70||0.00||0.00||0.00||2018-08-25T07:45:16+02:00
232.80||0.00||0.00||0.00||2018-08-25T07:45:21+02:00
232.70||0.00||0.00||0.00||2018-08-25T07:45:26+02:00
232.80||0.00||0.00||0.00||2018-08-25T07:45:31+02:00
232.60||0.00||0.00||0.00||2018-08-25T07:45:35+02:00
232.60||0.00||0.00||0.00||2018-08-25T07:45:40+02:00
232.70||0.00||0.00||0.00||2018-08-25T07:45:45+02:00
233.00||0.00||0.00||0.00||2018-08-25T07:45:50+02:00
232.80||0.00||0.00||0.00||2018-08-25T07:45:55+02:00
232.90||0.00||0.00||0.00||2018-08-25T07:46:00+02:00
232.90||0.00||0.00||0.00||2018-08-25T07:46:05+02:00
232.90||0.00||0.00||0.00||2018-08-25T07:46:10+02:00
232.90||0.00||0.00||0.00||2018-08-25T07:46:15+02:00
233.10||0.00||0.00||0.00||2018-08-25T07:46:20+02:00
232.80||0.00||0.00||0.00||2018-08-25T07:46:24+02:00
232.90||0.00||0.00||0.00||2018-08-25T07:46:29+02:00
236.10||0.00||0.00||0.00||2018-08-25T11:59:15+02:00
235.90||0.00||0.00||0.00||2018-08-25T11:59:20+02:00
235.80||0.00||0.00||0.00||2018-08-25T12:01:29+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:01:41+02:00
235.00||0.00||0.00||0.00||2018-08-25T12:01:53+02:00
234.90||0.00||0.00||0.00||2018-08-25T12:02:05+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:02:33+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:02:35+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:02:37+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:02:39+02:00
235.00||0.00||0.00||0.00||2018-08-25T12:02:41+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:02:43+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:02:45+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:02:47+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:02:49+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:02:51+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:02:53+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:02:55+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:02:57+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:02:59+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:03:01+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:03:03+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:03:05+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:03:07+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:03:09+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:03:11+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:03:13+02:00
235.90||0.00||0.00||0.00||2018-08-25T12:03:15+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:03:17+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:03:19+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:21+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:03:23+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:25+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:03:27+02:00
234.90||0.00||0.00||0.00||2018-08-25T12:03:29+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:03:31+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:03:33+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:35+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:03:37+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:39+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:41+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:03:43+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:03:45+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:47+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:03:49+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:03:51+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:53+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:03:55+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:03:57+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:03:59+02:00
234.90||0.00||0.00||0.00||2018-08-25T12:04:01+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:03+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:04:05+02:00
235.00||0.00||0.00||0.00||2018-08-25T12:04:07+02:00
235.10||0.00||0.00||0.00||2018-08-25T12:04:09+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:11+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:13+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:04:15+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:17+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:04:19+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:21+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:23+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:04:25+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:04:27+02:00
235.20||0.00||0.00||0.00||2018-08-25T12:04:29+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:31+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:04:33+02:00
235.30||0.00||0.00||0.00||2018-08-25T12:04:35+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:37+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:39+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:04:41+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:04:43+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:45+02:00
235.40||0.00||0.00||0.00||2018-08-25T12:04:47+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:49+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:04:51+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:04:53+02:00
235.60||0.00||0.00||0.00||2018-08-25T12:04:55+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:04:57+02:00
235.50||0.00||0.00||0.00||2018-08-25T12:04:59+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:05:01+02:00
236.00||0.00||0.00||0.00||2018-08-25T12:05:03+02:00
235.70||0.00||0.00||0.00||2018-08-25T12:05:05+02:00
1.00||0.01||0.00||0.00||2018-08-25T12:06:40+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:06:42+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:06:44+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:06:46+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:06:48+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:06:50+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:06:52+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:06:54+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:06:56+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:06:58+02:00
236.00||0.01||0.00||0.00||2018-08-25T12:07:00+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:02+02:00
235.80||0.01||0.00||0.00||2018-08-25T12:07:04+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:07:06+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:08+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:07:10+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:12+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:14+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:16+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:07:18+02:00
236.70||0.01||0.00||0.00||2018-08-25T12:07:20+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:22+02:00
236.70||0.01||0.00||0.00||2018-08-25T12:07:24+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:07:26+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:28+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:07:30+02:00
236.60||0.01||0.00||0.00||2018-08-25T12:07:32+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:07:34+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:36+02:00
236.70||0.01||0.00||0.00||2018-08-25T12:07:38+02:00
236.40||0.01||0.00||0.00||2018-08-25T12:07:40+02:00
236.60||0.01||0.00||0.00||2018-08-25T12:07:42+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:44+02:00
236.70||0.01||0.00||0.00||2018-08-25T12:07:46+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:48+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:07:50+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:07:52+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:54+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:07:56+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:07:58+02:00
236.50||0.01||0.00||0.00||2018-08-25T12:08:00+02:00
236.40||0.01||0.00||0.00||2018-08-25T12:08:02+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:08:04+02:00
236.40||0.01||0.00||0.00||2018-08-25T12:08:06+02:00
236.30||0.01||0.00||0.00||2018-08-25T12:08:08+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:08:10+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:08:12+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:08:14+02:00
235.80||0.01||0.00||0.00||2018-08-25T12:08:16+02:00
236.20||0.01||0.00||0.00||2018-08-25T12:08:18+02:00
235.80||0.01||0.00||0.00||2018-08-25T12:08:20+02:00
236.10||0.01||0.00||0.00||2018-08-25T12:08:22+02:00
235.60||0.01||0.00||0.00||2018-08-25T12:08:24+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:08:26+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:08:28+02:00
235.50||0.01||0.00||0.00||2018-08-25T12:08:30+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:08:32+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:08:34+02:00
235.80||0.01||0.00||0.00||2018-08-25T12:08:36+02:00
235.60||0.01||0.00||0.00||2018-08-25T12:08:38+02:00
235.80||0.01||0.00||0.00||2018-08-25T12:08:40+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:08:42+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:08:44+02:00
235.50||0.01||0.00||0.00||2018-08-25T12:08:46+02:00
235.50||0.01||0.00||0.00||2018-08-25T12:08:48+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:08:50+02:00
235.00||0.01||0.00||0.00||2018-08-25T12:08:52+02:00
235.00||0.01||0.00||0.00||2018-08-25T12:08:54+02:00
235.20||0.01||0.00||0.00||2018-08-25T12:08:56+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:08:58+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:09:00+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:09:02+02:00
235.00||0.01||0.00||0.00||2018-08-25T12:09:04+02:00
235.60||0.01||0.00||0.00||2018-08-25T12:09:06+02:00
235.70||0.01||0.00||0.00||2018-08-25T12:09:08+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:10+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:09:12+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:14+02:00
235.20||0.01||0.00||0.00||2018-08-25T12:09:16+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:09:18+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:09:20+02:00
235.00||0.01||0.00||0.00||2018-08-25T12:09:22+02:00
235.20||0.01||0.00||0.00||2018-08-25T12:09:24+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:26+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:09:28+02:00
235.50||0.01||0.00||0.00||2018-08-25T12:09:30+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:32+02:00
235.20||0.01||0.00||0.00||2018-08-25T12:09:34+02:00
235.10||0.01||0.00||0.00||2018-08-25T12:09:36+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:09:38+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:40+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:42+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:44+02:00
235.20||0.01||0.00||0.00||2018-08-25T12:09:46+02:00
235.50||0.01||0.00||0.00||2018-08-25T12:09:48+02:00
235.40||0.01||0.00||0.00||2018-08-25T12:09:50+02:00
235.30||0.01||0.00||0.00||2018-08-25T12:09:52+02:00
